,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021*
Emissions,Sources,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg,million kg
Carbon dioxide (CO2),Total mobile sources,33400,33300,34600,34800,35400,35600,36100,37200,37800,39500,39800,40300,40600,41100,41800,41900,42000,41700,41400,40500,40500,40600,39700,38600,38900,39800,40200,40400,41200,41200,37700,38300
Carbon dioxide (CO2),Total inland transport,27500,27600,28900,28900,29300,29300,29700,30600,31100,32500,32600,33000,33400,33800,34400,34300,34200,34200,34400,33600,33800,33600,33200,32300,32300,32900,33400,33800,34400,34300,30800,31400
Carbon dioxide (CO2),"Road traffic, total",24200,24300,25500,25500,25800,25800,26100,26600,27200,28600,28600,28900,29300,29600,30200,30200,30100,30100,30000,29600,29600,29200,28700,28000,27800,28100,28900,29200,29400,29300,26100,26600
Carbon dioxide (CO2),"Road traffic, passenger cars",15500,15400,16100,15900,16300,16100,16300,16700,17000,17700,17800,18000,18400,18600,19100,18800,18800,18600,18300,18100,18000,17900,17600,17400,17200,17300,17600,17700,17800,17600,14600,14800
Carbon dioxide (CO2),"Road traffic, freight vehicles",7600,7900,8400,8500,8500,8600,8600,8800,9100,9800,9700,9800,9800,9900,10100,10200,10200,10300,10600,10400,10400,10100,9900,9500,9400,9800,10200,10400,10600,10700,10600,11000
Carbon dioxide (CO2),"Road traffic, other",1100,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1100,1100,1100,1100,1000,1100,1100,1000,900,900
Carbon dioxide (CO2),Total inland shipping,1900,1900,1900,1900,1900,1900,1900,2200,2000,2000,2100,2200,2100,2200,2000,2000,1900,2000,1900,1700,1800,1900,2000,2000,2000,2100,2000,2100,2100,1900,1900,2000
Carbon dioxide (CO2),"Inland shipping, passenger transport",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Carbon dioxide (CO2),"Inland shipping, freight transport",1600,1600,1600,1600,1700,1600,1600,1900,1700,1700,1800,1900,1800,1900,1700,1700,1600,1700,1600,1400,1500,1600,1700,1700,1700,1800,1700,1800,1800,1600,1600,1700
Carbon dioxide (CO2),"Inland shipping, pleasure cruising",100,100,100,200,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
